custody_id,participant_age_group,participant_gender,participant_status,participant_type,latitude,longitude,gun_stolen,gun_type,incident_id,date_fk
249535,Adult 18+,Male,Unharmed,Victim,31.4103,-85.4635,Irrelevant,Irrelevant,138367,1026
249577,Adult 18+,Male,Killed,Victim,32.3719,-111.139,Irrelevant,Irrelevant,138390,1026
326377,Adult 18+,Male,Killed,Victim,42.1069,-86.423,Irrelevant,Irrelevant,184391,1296
320826,Adult 18+,Male,Injured,Victim,42.1069,-86.423,Irrelevant,Irrelevant,180892,1277
249617,Adult 18+,Male,Injured,Victim,32.4435,-93.7031,Irrelevant,Irrelevant,138413,1026
249649,Teen 12-17,Female,Injured,Victim,41.2045,-95.9577,Irrelevant,Irrelevant,138433,1026
249670,Adult 18+,Male,Killed,Victim,40.1572,-75.2226,Irrelevant,Irrelevant,138448,1026
249669,Adult 18+,Female,Killed,Victim,40.1572,-75.2226,Irrelevant,Irrelevant,138448,1026
249674,Adult 18+,Female,Injured,Victim,30.2678,-97.7407,Irrelevant,Irrelevant,138450,1026
249675,Adult 18+,Female,Injured,Victim,30.2678,-97.7407,Irrelevant,Irrelevant,138450,1026
249676,Adult 18+,Female,Injured,Victim,30.2678,-97.7407,Irrelevant,Irrelevant,138450,1026
249677,Adult 18+,Female,Injured,Victim,30.2678,-97.7407,Irrelevant,Irrelevant,138450,1026
249673,Adult 18+,Female,Killed,Victim,30.2678,-97.7407,Irrelevant,Irrelevant,138450,1026
249735,Adult 18+,Male,Injured,Victim,37.7335,-89.2109,Irrelevant,Irrelevant,138487,1026
249777,Adult 18+,Male,Killed,Victim,34.0939,-85.6749,Irrelevant,Irrelevant,138512,1026
249778,Adult 18+,Female,Killed,Victim,34.0939,-85.6749,Irrelevant,Irrelevant,138512,1026
249779,Adult 18+,Female,Unharmed,Victim,34.0939,-85.6749,Irrelevant,Irrelevant,138512,1026
249789,Adult 18+,Male,Killed,Victim,44.9788,-122.964,Irrelevant,Irrelevant,138517,1027
286071,Adult 18+,Male,Injured,Victim,35.2431,-77.5863,Irrelevant,Irrelevant,159927,1152
249848,Adult 18+,Male,Injured,Victim,27.2369,-80.3848,Irrelevant,Irrelevant,138554,1027
312015,Adult 18+,Male,Killed,Victim,42.709,-71.1647,Irrelevant,Irrelevant,175420,1245
249868,Child 0-11,Male,Injured,Victim,39.3688,-76.8142,Irrelevant,Irrelevant,138569,1027
249885,Adult 18+,Male,Unharmed,Victim,42.4151,-83.1276,Irrelevant,Irrelevant,138580,1027
43866,Teen 12-17,Male,Injured,Victim,42.0,-87.6704,Irrelevant,Irrelevant,22329,255
249895,Teen 12-17,Female,Killed,Victim,34.1798,-97.1413,Irrelevant,Irrelevant,138587,1027
273691,Adult 18+,Male,Injured,Victim,31.3025,-92.4725,Irrelevant,Irrelevant,152667,1110
249913,Adult 18+,Female,Injured,Victim,29.0392,-82.049,Irrelevant,Irrelevant,138598,1027
249932,Adult 18+,Male,Killed,Victim,41.7673,-88.2822,Irrelevant,Irrelevant,138607,1027
249941,Adult 18+,Male,Killed,Victim,36.9986,-86.4489,Irrelevant,Irrelevant,138612,1027
249974,Adult 18+,Male,Injured,Victim,38.0785,-81.8324,Irrelevant,Irrelevant,138631,1027
249996,Adult 18+,Male,Arrested,Victim,29.4801,-98.5335,Irrelevant,Irrelevant,138642,1027
249999,Adult 18+,Male,Arrested,Victim,47.1248,-122.376,Irrelevant,Irrelevant,138643,1027
250026,Adult 18+,Male,Arrested,Victim,42.2379,-84.4173,Irrelevant,Irrelevant,138654,1027
250033,Adult 18+,Male,Unharmed,Victim,40.509,-86.135,Irrelevant,Irrelevant,138659,1027
